Codigo,Descripcion,Precio,Marca_Codigo,Clasificacion_Codigo
THHN-1-STR-BLK,#1 THHN Stranded Black,1.97655,BRD000,CLS009
XHHW-1-STR-BLK-AL,#1 XHHW Stranded Aluminum Black,0,BRD000,CLS009
THHN-10-STR-BLK,#10 THHN Stranded Black,0.34247,BRD000,CLS009
10/1THHN-7/0-BK-NG-1000-SP-Copperweld,#10 THHN Stranded Black Copper Clad,0,BRD000,CLS009
THHN-10-STR-BLU,#10 THHN Stranded Blue,0,BRD000,CLS009
10/1THHN-7/0-BL-NG-1000-SP-Copperweld,#10 THHN Stranded Blue Copper Clad,0,BRD000,CLS009
THHN-10-STR-GRN,#10 THHN Stranded Green,0.35882,BRD000,CLS009
10/1THHN-7/0-GN-NG-1000-SP-Copperweld,#10 THHN Stranded Green Copper Clad,0,BRD000,CLS009
10/1THHN-7/0-RD-NG-1000-SP-Copperweld,#10 THHN Stranded Red Copper Clad,0,BRD000,CLS009
THHN-10-STR-WHT,#10 THHN Stranded White,0.31244,BRD000,CLS009
10/1THHN-7/0-WT-NG-1000-SP-Copperweld,#10 THHN Stranded White Copper Clad,0,BRD000,CLS009
THHN-12-STR-BLK,#12 THHN Stranded Black,0.1809,BRD000,CLS009
THHN-12-STR-BLU,#12 THHN Stranded Blue,0.22393,BRD000,CLS009
THHN-12-STR-GRN,#12 THHN Stranded Green,0.18102,BRD000,CLS009
THHN-12-STR-RED,#12 THHN Stranded Red,0.18102,BRD000,CLS009
THHN-12-STR-WHT,#12 THHN Stranded White,0.1809,BRD000,CLS009
THHN-2-STR-BLK,#2 THHN Stranded Black,1.78001,BRD000,CLS009
XHHW-2-STR-BLK-AL,#2 XHHW Stranded Aluminum Black,0.52166,BRD000,CLS009
THHN-3-STR-BLK,#3 THHN Stranded Black,1.47475,BRD000,CLS009
REBAR,#3 x 2' Rebar,0,BRD000,CLS007
BS-4,#4 Butt Splice,3.51037,BRD000,CLS007
SBC-CU-4,#4 CU Split Bolt Connector,4.2504,BRD000,CLS011
